,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
127,214,0.058,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,Beer Works Brewery,Lowell,MA,northeast
128,215,0.068,85.0,2420,Back Bay IPA,American IPA,103,12.0,Beer Works Brewery,Lowell,MA,northeast
129,216,0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,103,12.0,Beer Works Brewery,Lowell,MA,northeast
130,223,0.044,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,Bent Brewstillery,Roseville,MN,midwest
131,225,0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,Bent Brewstillery,Roseville,MN,midwest
132,227,0.07200000000000001,87.0,2410,Harness the Winter,American IPA,75,12.0,Bent Paddle Brewing Company,Duluth,MN,midwest
133,228,0.056,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,Bent Paddle Brewing Company,Duluth,MN,midwest
134,229,0.062,68.0,1901,Bent Hop Golden IPA,American IPA,75,12.0,Bent Paddle Brewing Company,Duluth,MN,midwest
135,230,0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,Bent Paddle Brewing Company,Duluth,MN,midwest
136,231,0.05,38.0,1253,Venture Pils,German Pilsener,75,12.0,Bent Paddle Brewing Company,Duluth,MN,midwest
137,232,0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,Berkshire Brewing Company,South Deerfield,MA,northeast
138,233,0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,Berkshire Brewing Company,South Deerfield,MA,northeast
139,239,0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,Big Choice Brewing,Broomfield,CO,west
140,240,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,Big Choice Brewing,Broomfield,CO,west
141,242,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,Big Choice Brewing,Broomfield,CO,west
142,246,0.08,54.0,2639,Dark Star,American Stout,8,16.0,Big Lake Brewing,Holland,MI,midwest
143,249,0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,Big Muddy Brewing,Murphysboro,IL,south
144,250,0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,Big River Brewing Company,Chattanooga,TN,south
145,251,0.06,55.0,632,House Brand IPA,American IPA,519,12.0,Big River Brewing Company,Chattanooga,TN,south
146,252,0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,Big Sky Brewing Company,Missoula,MT,west
147,253,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
148,254,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
149,255,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
150,256,0.07200000000000001,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
151,257,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
152,258,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
153,259,0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,Big Sky Brewing Company,Missoula,MT,west
154,261,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
155,262,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
156,263,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,Big Sky Brewing Company,Missoula,MT,west
157,264,0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,Big Storm Brewing Company,Odessa,FL,south
158,265,0.058,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,Big Storm Brewing Company,Odessa,FL,south
159,266,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,Big Wood Brewery,Vadnais Heights,MN,midwest
160,267,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,Big Wood Brewery,Vadnais Heights,MN,midwest
161,268,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,Big Wood Brewery,Vadnais Heights,MN,midwest
162,269,0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,Big Wood Brewery,Vadnais Heights,MN,midwest
